name;frequency
Andrej;11
Jamie;11
Lorik;11
Eduardo;11
Roy;11
Siro;11
Amos;11
Giorgio;11
Lazar;11
Luigi;11
Léon;11
Léonard;11
Tomas;11
Arianit;11
Artan;11
Damiano;11
Nicolai;11
Paolo;11
Sinan;11
Vincenzo;11
Gael;11
Curdin;11
Joe;11
Emile;11
Gil;11
Eren;11
Ilir;11
Samy;11
Finn;10
Elian;10
Elija;10
Teo;10
Yusuf;10
Gioele;10
Giulio;10
Isaac;10
Jovan;10
Kristijan;10
Matej;10
Mathis;10
Ewan;10
Joseph;10
Tino;10
Felipe;10
Gregor;10
Jacopo;10
Kaan;10
Mohammad;10
Iwan;10
Joschua;10
Kyle;10
Urs;10
Eliot;10
Joachim;10
José;10
Nic;10
Erwan;10
Yohan;10
Til;10
Pirmin;10
Arbnor;10
Danny;10
Silvano;10
Edmond;10
Jonatan;10
Marcos;10
Maxim;9
Emilio;9
Viktor;9
Aris;9
Albert;9
Jack;9
Vasco;9
Yasin;9
Jonah;9
Mats;9
Natan;9
Abdullah;9
Lorin;9
Amin;9
Gion;9
Luke;9
Cristiano;9
Edgar;9
Giona;9
Jim;9
Kylian;9
Omer;9
Rémy;9
Adel;9
Baran;9
Bilal;9
Dave;9
Maurin;9
Rui;9
Maxence;9
Niclas;9
Elie;9
Emilien;9
Adonis;9
Ismaël;9
Mattias;9
Thibaut;9
Célien;9
Patrice;9
François;9
Jarod;9
Micael;9
Nevio;8
Dion;8
Karl;8
Vito;8
Jay;8
Elliot;8
Constantin;8
Keanu;8
Georg;8
Mohammed;8
Pietro;8
Tenzin;8
Jordi;8
Kerim;8
Dilan;8
Emin;8
Florentin;8
Nuno;8
Diyar;8
Glenn;8
Luciano;8
Yassine;8
Yan;8
Pasquale;8
Muhamed;8
Mohamad;8
Andrew;8
Zachary;8
Andi;8
Joaquim;8
Jorge;8
Loïs;8
Yohann;8
Aziz;8
Cornel;8
Josip;8
Leonit;8
Virgile;8
Henri;7
Carl;7
Ensar;7
Ron;7
Matias;7
Eron;7
Leart;7
Lauro;7
Timothée;7
Damjan;7
Erion;7
Nikolas;7
Sebastiano;7
Vladimir;7
Xaver;7
Javier;7
Eddy;7
Pius;7
Edin;7
Amel;7
Alberto;7
Félix;7
Antonin;7
Blendi;7
Eray;7
Burak;7
Daan;7
Ardi;7
Besjan;7
Fisnik;7
Hassan;7
Yanic;7
Melih;7
Erblin;7
Henry;6
Aurelio;6
Ennio;6
Henrik;6
Frederik;6
Konstantin;6
Ilyas;6
Eli;6
Aleksa;6
Alfred;6
Darius;6
Jasin;6
Abel;6
Frédéric;6
Owen;6
Ariel;6
Armand;6
Haris;6
Jacob;6
Jaime;6
Kaspar;6
Naim;6
Théodore;6
Johnny;6
Leotrim;6
Marin;6
Serkan;6
Timothé;6
Edouard;6
Flavien;6
Gaël;6
Riad;6
Semih;6
Quirin;6
Umut;6
Alois;6
Blerim;6
Mihailo;6
Rayane;6
Anil;6
Malcolm;6
Anel;6
Arijan;6
Blend;6
Gentian;6
Onur;6
Rami;6
Almin;6
Ciro;6
Emirhan;6
Massimiliano;6
Rodi;6
Shaban;6
Shane;6
Willy;6
Grégoire;6
Mickael;6
Morgan;6
Ayrton;6
Gary;6
Donovan;6
Driton;6
Hadi;6
Shawn;6
Fynn;5
Juri;5
Devin;5
Santiago;5
Yuri;5
Ethan;5
Julius;5
Jari;5
Thiago;5
Ilias;5
Niko;5
Isa;5
Kerem;5
Musa;5
Arun;5
Clemens;5
Jona;5
Jusuf;5
Mikail;5
Edoardo;5
Fernando;5
Joan;5
Ludovico;5
