name;frequency
Coulon;11
Courvoisier;11
David;11
Della;11
DuPasquier;11
Etter;11
Frick;11
Frisching;11
Funk;11
Gallati;11
Ganz;11
Gassmann;11
Genoud;11
Gmür;11
Göldlin;11
Gross;11
Hohl;11
Holzhalb;11
Jaccard;11
Kappeler;11
Keyser;11
Kündig;11
Lüthi;11
Mercier;11
Munzinger;11
Muret;11
Nef;11
Nideröst;11
Peter;11
Piguet;11
Polier;11
Rüttimann;11
Schenk;11
Schild;11
Spiegelberg;11
Stadlin;11
Stoffel;11
Stokar;11
Van;11
Vogler;11
Walker;11
Watt;11
Wieland;11
Wildermeth;11
Willi;11
Zschokke;11
Achermann;10
Augsburger;10
Bally;10
Baur;10
Beaumont;10
Billens;10
Blum;10
Bons;10
Brenner;10
Broger;10
Brügger;10
Calame;10
Constant;10
Durrer;10
Eschenbach;10
Fatio;10
Faucigny;10
Finsler;10
Forel;10
Fueter;10
Gerber;10
Ghiringhelli;10
Godet;10
Grandvillers;10
Grenus;10
Grimm;10
Gysin;10
Häberlin;10
Hegi;10
Herrenschwand;10
Hewen;10
Huguenin;10
Hünerwadel;10
Jakob;10
Jaquet;10
Küng;10
Mandach;10
Mandrot;10
Martines;10
Mayr;10
Messmer;10
Molo;10
Moor;10
Murer;10
Nidau;10
Nüscheler;10
Oertli;10
Olgiati;10
Palézieux;10
Perrier;10
Pioda;10
Prevost;10
Probst;10
Quartéry;10
Quervain;10
Rapperswil;10
Rheinfelden;10
Riggenbach;10
Ringier;10
Rütte;10
Salzmann;10
Schäfer;10
Schalch;10
Schär;10
Scharnachtal;10
Schilling;10
Schiner;10
Schlumpf;10
Schwarzenbach;10
Seedorf;10
Sepibus;10
Spiess;10
Sprüngli;10
Staal;10
Stapfer;10
Stauffer;10
Stehlin;10
Stierlin;10
Stockmann;10
Streiff;10
Stulz;10
Sturzenegger;10
Trinkler;10
Vieli;10
Walter;10
Wegelin;10
Weid;10
Werdenberg;10
Wil;10
Wolff;10
Zähringen;10
Zen;10
Züblin;10
Zur;10
Allet;9
Amsler;9
Attenhofer;9
Bauer;9
Benziger;9
Berchtold;9
Bergier;9
Biedermann;9
Binder;9
Bolla;9
Brand;9
Braun;9
Brodbeck;9
Castelmur;9
Champvent;9
Claparède;9
Colladon;9
Corrodi;9
Cressier;9
Crivelli;9
Diethelm;9
Dulliker;9
Engel;9
Fäsi;9
Fisch;9
François;9
Geiser;9
Germann;9
Gerster;9
Gutzwiller;9
Häfliger;9
Halter;9
Harder;9
Hefti;9
Hegglin;9
Hofstetter;9
Humbert-Droz;9
Imer;9
Kägi;9
Kolin;9
Kübler;9
Kurz;9
Lehmann;9
Lochmann;9
Lombard;9
Meister;9
Merveilleux;9
Micheli;9
Miescher;9
Monod;9
Montet;9
Morlot;9
Nager;9
Oltramare;9
Perregaux;9
Petri;9
Porta;9
Räber;9
Raschèr;9
Rechsteiner;9
Reich;9
Reymond;9
Rieter;9
Rittmeyer;9
Roguin;9
Ruckstuhl;9
Rusch;9
Ryff;9
Saladin;9
Schoch;9
Schwyzer;9
Signer;9
Spengler;9
Stämpfli;9
Straub;9
Thalmann;9
Vigier;9
Villiger;9
Walder;9
Weibel;9
Weidmann;9
Werro;9
Zwinger;9
Abt;8
Aebli;8
Allemann;8
Altermatt;8
Amstutz;8
Bär;8
Bärenfels;8
Beeli;8
Benz;8
Bertrand;8
Besenval;8
Blanc;8
Blonay;8
Blösch;8
Boissonnas;8
Bosset;8
Bossi;8
Bourgeois;8
Bouvier;8
Bruggmann;8
Buchegg;8
Büchi;8
Buman;8
Burnand;8
Businger;8
Castelli;8
Cérenville;8
Challant;8
Cocatrix;8
Dähler;8
Diessenhofen;8
Dübi;8
Du;8
Dunant;8
Eberle;8
Elsener;8
Eptingen;8
Erb;8
Farner;8
Fierz;8
Flückiger;8
Forrer;8
Frobourg;8
Frossard;8
Geilinger;8
Gélieu;8
Glâne;8
Greder;8
Gruber;8
Gugelberg;8
Guillaume;8
Guisan;8
Gut;8
Guyer;8
Heidegger;8
Herbort;8
Heusser;8
Högger;8
Hotz;8
Jäger;8
Jäggi;8
Jeanneret;8
Juvalta;8
Kastel;8
Kessler;8
Klingen;8
Koechlin;8
Konrad;8
Krauer;8
Kunkler;8
Lambert;8
Landegg;8
Lanz;8
Lauener;8
Laufen;8
Liechti;8
Maag;8
Mallet;8
Marca;8
Meienberg;8
Meili;8
Meylan;8
Morf;8
Morgenthaler;8
Necker;8
Neff;8
Nellenburg;8
Neveu;8
Oechslin;8
Oswald;8
Pedrazzini;8
Pfenninger;8
Piccard;8
Pozzi;8
Rechberg;8
Reichlin;8
Reinhard;8
Reitnau;8
Reverdin;8
Richard;8
Römer;8
Rot;8
Rothpletz;8
Rötteln;8
Roy;8
Rusconi;8
Sales;8
Schenker;8
Seigneux;8
Senarclens;8
Seyssel;8
Simmler;8
Socin;8
Soldini;8
Stalder;8
Steck;8
Steinmann;8
Strassberg;8
Thurn;8
Thurneysen;8
Trachsel;8
Trey;8
Vallier;8
Vautier;8
Verger;8
Villarzel;8
Vögeli;8
Vuippens;8
Waldvogel;8
Wenger;8
Wessenberg;8
Wingarten;8
Zgraggen;8
Zuben;8
Zumbrunnen;8
Zurkinden;8
Achard;7
Aeby;7
Aeschbacher;7
Affolter;7
Alder;7
Alt;7
Amberg;7
Anderegg;7
Bachofen;7
Baldinger;7
Bänziger;7
Bauhin;7
Béguin;7
Bernet;7
Bernhard;7
Bertschinger;7
Bianchi;7
Blatter;7
Bonjour;7
Borgeaud;7
Bürki;7
Buxtorf;7
Byss;7
Caflisch;7
Carlone;7
Chaillet;7
Charles;7
Condrau;7
Cornaz;7
Dachselhofer;7
Dapples;7
Dietrich;7
Diodati;7
Dorer;7
Dörig;7
Droz;7
Dürler;7
Edlibach;7
Egg;7
Egloff;7
Ehrler;7
Enderlin;7
Engelhard;7
Englisberg;7
Epp;7
Erni;7
Falck;7
Falkenstein;7
Fassbind;7
Fels;7
Frank;7
Frölicher;7
Galli;7
Gamma;7
Gaudard;7
Giacometti;7
Göldli;7
Grand;7
Grebel;7
Grubenmann;7
Grynaeus;7
Hafner;7
Hagenbach;7
Hagenbuch;7
Hanhart;7
Hersche;7
Hilty;7
Hofmeister;7
Hösli;7
Hugues;7
Kälin;7
Karrer;7
Kirchberger;7
